classifier_name,dataset_name,accuracy
BOSS,ECG200,0.89
BOSS,ECG5000,0.94
BOSS,DiatomSizeReduction,0.939
BOSS,Earthquakes,0.746
BOSS,GunPoint,0.994
BOSS,Hering,0.605
BOSS,Strawberry,0.97
BOSS,InsectWingbeatSound,0.51
BOSS,Meat,0.98
BOSS,OliveOil,0.87
BOSS,SyntheticControl,0.968
BOSS,CinCECGTorso,0.9
BOSS,SwedishLeaf,0.918
BOSS,TwoLeadECG,0.985
BOSS,Wafer,0.999
BOSS,Plane,0.998
BOSS,Trace,1
BOSS,TwoPatterns,0.991
EE,Beef,0.532
EE,BeetleFly,0.823
EE,BirdChicken,0.848
EE,Car,0.799
EE,CBF,0.993
EE,ChlorineConcentration,0.659
EE,Coffee,0.989
EE,Lighting2,0.835
EE,FordA,0.751
EE,ItalyPowerDemand,0.951
EE,ECG200,0.881
EE,ECG5000,0.939
EE,DiatomSizeReduction,0.946
EE,Earthquakes,0.735
EE,GunPoint,0.974
EE,Hering,0.566
EE,Strawberry,0.959
EE,InsectWingbeatSound,0.581
EE,Meat,0.978
EE,OliveOil,0.879
EE,SyntheticControl,0.994
EE,CinCECGTorso,0.946
EE,SwedishLeaf,0.916
EE,TwoLeadECG,0.958
EE,Wafer,0.999
EE,Plane,1
EE,Trace,0.996
EE,TwoPatterns,1
Vanilla:ResNet-Transformer,Beef,0.9
Vanilla:ResNet-Transformer,BeetleFly,1
Vanilla:ResNet-Transformer,BirdChicken,1
Vanilla:ResNet-Transformer,Car,0.95
Vanilla:ResNet-Transformer,CBF,1
Vanilla:ResNet-Transformer,ChlorineConcentration,0.849479
Vanilla:ResNet-Transformer,Coffee,1
Vanilla:ResNet-Transformer,Lighting2,0.852429
Vanilla:ResNet-Transformer,FordA,0.948485
Vanilla:ResNet-Transformer,ItalyPowerDemand,0.965015
Vanilla:ResNet-Transformer,ECG200,0.94
Vanilla:ResNet-Transformer,ECG5000,0.941556
Vanilla:ResNet-Transformer,DiatomSizeReduction,0.993464
Vanilla:ResNet-Transformer,Earthquakes,0.755396
Vanilla:ResNet-Transformer,GunPoint,1
Vanilla:ResNet-Transformer,Hering,0.703125
Vanilla:ResNet-Transformer,Strawberry,0.986486
Vanilla:ResNet-Transformer,InsectWingbeatSound,0.52222
Vanilla:ResNet-Transformer,Meat,1
Vanilla:ResNet-Transformer,OliveOil,0.966667
Vanilla:ResNet-Transformer,SyntheticControl,1
Vanilla:ResNet-Transformer,CinCECGTorso,0.871739
Vanilla:ResNet-Transformer,SwedishLeaf,0.9792
Vanilla:ResNet-Transformer,TwoLeadECG,1
Vanilla:ResNet-Transformer,Wafer,0.99854
Vanilla:ResNet-Transformer,Plane,1
Vanilla:ResNet-Transformer,Trace,1
Vanilla:ResNet-Transformer,TwoPatterns,0.99675
DTMF,Beef,0.546
DTMF,BeetleFly,0.853
DTMF,BirdChicken,0.865
DTMF,Car,0.851
DTMF,CBF,0.979
DTMF,ChlorineConcentration,0.658
DTMF,Coffee,0.973
DTMF,Lighting2,0.71
DTMF,FordA,0.864
DTMF,ItalyPowerDemand,0.948
DTMF,ECG200,0.819
DTMF,ECG5000,0.94
DTMF,DiatomSizeReduction,0.942
DTMF,Earthquakes,0.747
DTMF,GunPoint,0.964
DTMF,Hering,0.609
DTMF,Strawberry,0.97
DTMF,InsectWingbeatSound,0.602
DTMF,Meat,0.983
DTMF,OliveOil,0.864
DTMF,SyntheticControl,0.986
DTMF,CinCECGTorso,0.714
DTMF,SwedishLeaf,0.885
DTMF,TwoLeadECG,0.958
DTMF,Wafer,0.997
DTMF,Plane,0.996
DTMF,Trace,0.997
DTMF,TwoPatterns,1
ResNet-Transformer2[25],Beef,0.866667
ResNet-Transformer2[25],BeetleFly,0.95
ResNet-Transformer2[25],BirdChicken,1
ResNet-Transformer2[25],Car,0.866667
ResNet-Transformer2[25],CBF,1
ResNet-Transformer2[25],ChlorineConcentration,0.409375
ResNet-Transformer2[25],Coffee,1
ResNet-Transformer2[25],Lighting2,0.754098
ResNet-Transformer2[25],FordA,0.517424
ResNet-Transformer2[25],ItalyPowerDemand,0.962099
ResNet-Transformer2[25],ECG200,0.94
ResNet-Transformer2[25],ECG5000,0.944222
ResNet-Transformer2[25],DiatomSizeReduction,0.379085
ResNet-Transformer2[25],Earthquakes,0.76259
ResNet-Transformer2[25],GunPoint,1
ResNet-Transformer2[25],Hering,0.65625
ResNet-Transformer2[25],Strawberry,0.986486
ResNet-Transformer2[25],InsectWingbeatSound,0.535859
ResNet-Transformer2[25],Meat,1
ResNet-Transformer2[25],OliveOil,0.9333
ResNet-Transformer2[25],SyntheticControl,1
ResNet-Transformer2[25],CinCECGTorso,0.86667
ResNet-Transformer2[25],SwedishLeaf,0.9696
ResNet-Transformer2[25],TwoLeadECG,1
ResNet-Transformer2[25],Wafer,0.99854
ResNet-Transformer2[25],Plane,0.371429
ResNet-Transformer2[25],Trace,1
ResNet-Transformer2[25],TwoPatterns,1
ResNet-Transformer3[25],Beef,0.866667
ResNet-Transformer3[25],BeetleFly,1
ResNet-Transformer3[25],BirdChicken,0.7
ResNet-Transformer3[25],Car,0.3
ResNet-Transformer3[25],CBF,1
ResNet-Transformer3[25],ChlorineConcentration,0.861719
ResNet-Transformer3[25],Coffee,1
ResNet-Transformer3[25],Lighting2,0.868852
ResNet-Transformer3[25],FordA,0.940909
ResNet-Transformer3[25],ItalyPowerDemand,0.971817
ResNet-Transformer3[25],ECG200,0.93
ResNet-Transformer3[25],ECG5000,0.940444
ResNet-Transformer3[25],DiatomSizeReduction,0.996732
ResNet-Transformer3[25],Earthquakes,0.755396
ResNet-Transformer3[25],GunPoint,1
ResNet-Transformer3[25],Hering,0.703125
ResNet-Transformer3[25],Strawberry,0.986486
ResNet-Transformer3[25],InsectWingbeatSound,0.536364
ResNet-Transformer3[25],Meat,1
ResNet-Transformer3[25],OliveOil,0.9
ResNet-Transformer3[25],SyntheticControl,1
ResNet-Transformer3[25],CinCECGTorso,0.3
ResNet-Transformer3[25],SwedishLeaf,0.9664
ResNet-Transformer3[25],TwoLeadECG,1
ResNet-Transformer3[25],Wafer,0.999027
ResNet-Transformer3[25],Plane,1
ResNet-Transformer3[25],Trace,1
ResNet-Transformer3[25],TwoPatterns,1
